Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis,Cluster,PCA_1,PCA_2,Score_anomalie,Anomalie_ML,Raisons_anomalie,Anomalie_regle,Est_anomalie,Niveau_anomalie
INF-25E824897EAE,2024,I. C/ ÉTAT,Vol de téléphone,vol de telephone,37,0,0,0,21,13,0,0,0,0,27,0,0,1,37,34,28,71,0.027,1.0,37,False,,1,-0.3164203128354161,-0.486674990434394,-0.236403,False,,False,False,Normale
INF-A6623BF22925,2024,II. CRIMINALITÉ ET ACTES DE BANDITISME,Association de malfaiteurs,association de malfaiteurs,23,0,0,0,21,2,0,0,4,40,0,0,0,20,23,23,20,90,0.8696,1.0,23,False,03 H MD,2,0.353062806318984,2.2369626705669474,-0.217863,False,,False,False,Normale
INF-16B3D2A43ADD,2024,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol  avec violence,vol avec violence,107,0,7,2,36,7,2,0,0,23,53,0,0,16,116,45,69,184,0.1379,1.0,107,False,,0,1.2739028642502466,-0.5626630950327921,-0.213794,False,,False,False,Normale
INF-01435D287354,2024,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol à main armée,vol a main armee,21,0,0,0,17,0,0,0,19,13,19,0,0,1,21,17,20,70,0.0476,1.0,21,False,,2,0.4256726529040155,3.9607910019137984,-0.153391,False,MiseEnCause_Neutralises: valeur extrêmement élevée,True,True,Faible
INF-2B989CE098D4,2024,III. INFRACTIONS COURANTES,Violation de domicile,violation de domicile,27,1,5,3,25,16,0,0,0,123,4,10,5,5,36,41,24,200,0.1389,1.0,27,False,,0,0.5601979258021454,-0.3299955785972599,-0.211312,False,,False,False,Normale
INF-D06D1416E546,2024,III. INFRACTIONS COURANTES,Résistance à l’exécution des décisions des juridictions,resistance a l'execution des decisions des juridictions,1,0,27,0,17,17,0,0,0,8,13,0,1,14,28,34,28,70,0.5,1.0,1,False,,0,0.3921197459644473,-0.3728328803414392,-0.211769,False,,False,False,Normale
INF-E8A90542761F,2024,III. INFRACTIONS COURANTES,Injures,injures,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,1,False,,1,-2.286852692631283,-0.064287830632178,-0.250067,False,,False,False,Normale
INF-E52F1F6997F2,2024,III. INFRACTIONS COURANTES,Usurpation,usurpation,14,0,0,4,6,0,0,0,0,1,8,4,5,1,18,6,18,25,0.0556,1.0,14,False,,1,-0.9111909413833712,-0.3166352591671538,-0.22859,False,,False,False,Normale
INF-EE2FFB1F6882,2024,III. INFRACTIONS COURANTES,Menace verbal de mort,menace verbal de mort,7,0,23,0,16,14,0,0,0,0,6,0,4,20,30,30,30,60,0.6667,1.0,7,False,,1,-0.1390969476035961,-0.2950043588813907,-0.215529,False,,False,False,Normale
INF-0060A25EE5CE,2024,III. INFRACTIONS COURANTES,Menace sans condition,menace sans condition,496,0,21,0,167,83,0,0,0,126,285,54,35,28,517,250,402,893,0.0542,1.0,496,False,,0,2.776597812105725,-0.8138582394330715,-0.10295,False,,False,False,Normale
