Annee,Indicateur,Total_detail,Total_officiel,Ecart,Concordance
2024,Saisine_Plaintes_directes,11759,11796,-37,False
2024,Saisine_FD,591,591,0,True
2024,Saisine_ST,1057,1057,0,True
2024,Saisine_Autres,556,555,1,False
2024,Victimes_H,5417,5438,-21,False
2024,Victimes_F,2615,2628,-13,False
2024,Victimes_G,175,175,0,True
2024,Victimes_F_fille,97,97,0,True
2024,MiseEnCause_Neutralises,107,406,-299,False
2024,MiseEnCause_Interpelles,4138,4027,111,False
2024,Resultats_En_cours,5240,6032,-792,False
2024,Resultats_Retraits,6213,6213,0,True
2024,Resultats_DAT,751,751,0,True
2024,Resultats_DEF,1441,1442,-1,False
2025,Saisine_Plaintes_directes,14117,13757,360,False
2025,Saisine_FD,1352,1349,3,False
2025,Saisine_ST,915,916,-1,False
2025,Saisine_Autres,286,268,18,False
2025,Victimes_H,6126,5815,311,False
2025,Victimes_F,5829,5731,98,False
2025,Victimes_G,514,491,23,False
2025,Victimes_F_fille,532,498,34,False
2025,MiseEnCause_Neutralises,53,37,16,False
2025,MiseEnCause_Interpelles,6272,6447,-175,False
2025,Resultats_En_cours,1297,1256,41,False
2025,Resultats_Retraits,1032,956,76,False
2025,Resultats_DAT,2253,2149,104,False
2025,Resultats_DEF,3558,3468,90,False
2026-S1,Saisine_Plaintes_directes,6705,6705,0,True
2026-S1,Saisine_FD,1818,1818,0,True
2026-S1,Saisine_ST,379,378,1,False
2026-S1,Saisine_Autres,202,202,0,True
2026-S1,Victimes_H,4401,4401,0,True
2026-S1,Victimes_F,3462,3462,0,True
2026-S1,Victimes_G,268,268,0,True
2026-S1,Victimes_F_fille,230,230,0,True
2026-S1,MiseEnCause_Neutralises,21,21,0,True
2026-S1,MiseEnCause_Interpelles,4632,4748,-116,False
2026-S1,Resultats_En_cours,798,7981,-7183,False
2026-S1,Resultats_Retraits,1287,1287,0,True
2026-S1,Resultats_DAT,1757,1757,0,True
2026-S1,Resultats_DEF,1782,1782,0,True
