Annee;Categorie;Infraction_Affaire_traitee;Infraction_normalisee;Saisine_Plaintes_directes;Saisine_FD;Saisine_ST;Saisine_Autres;Victimes_H;Victimes_F;Victimes_G;Victimes_F_fille;MiseEnCause_Neutralises;MiseEnCause_Interpelles;Resultats_En_cours;Resultats_Retraits;Resultats_DAT;Resultats_DEF;Observations_Objets_saisis
2024;I. C/ ÉTAT;Vol de téléphone;vol de telephone;37;0;0;0;21;13;0;0;0;0;27;0;0;1;
2024;II. CRIMINALITÉ ET ACTES DE BANDITISME;Association de malfaiteurs;association de malfaiteurs;23;0;0;0;21;2;0;0;4;40;0;0;0;20;03 H MD
2024;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol  avec violence;vol avec violence;107;0;7;2;36;7;2;0;0;23;53;0;0;16;
2024;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol à main armée;vol a main armee;21;0;0;0;17;0;0;0;19;13;19;0;0;1;
2024;III. INFRACTIONS COURANTES;Violation de domicile;violation de domicile;27;1;5;3;25;16;0;0;0;123;4;10;5;5;
2024;III. INFRACTIONS COURANTES;Résistance à l’exécution des décisions des juridictions;resistance a l’execution des decisions des juridictions;1;0;27;0;17;17;0;0;0;8;13;0;1;14;
2024;III. INFRACTIONS COURANTES;Injures;injures;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
2024;III. INFRACTIONS COURANTES;Usurpation;usurpation;14;0;0;4;6;0;0;0;0;1;8;4;5;1;
2024;III. INFRACTIONS COURANTES;Menace verbal de mort;menace verbal de mort;7;0;23;0;16;14;0;0;0;0;6;0;4;20;
2024;III. INFRACTIONS COURANTES;Menace sans condition;menace sans condition;496;0;21;0;167;83;0;0;0;126;285;54;35;28;
2024;III. INFRACTIONS COURANTES;Diffamation publique;diffamation publique;5;0;3;0;4;7;0;0;0;1;5;0;2;5;
2024;III. INFRACTIONS COURANTES;Coups et blessures volontaires;coups et blessures volontaires;867;1;122;0;383;216;0;0;0;92;347;867;1;122;02 H LP- 01 F MD, 02 F LP
2024;III. INFRACTIONS COURANTES;Tentative de vol;tentative de vol;74;0;2;13;62;11;0;0;0;39;25;25;10;5;01 H MD
2024;III. INFRACTIONS COURANTES;Vol simple;vol simple;5223;86;62;343;2121;1153;101;78;0;1164;2232;3946;224;199;03 H MD – 11 LP 06H -05F
2024;III. INFRACTIONS COURANTES;Vol avec effraction;vol avec effraction;776;0;4;0;108;27;0;0;0;163;273;776;0;4;12 H MD, 01H LP
2024;III. INFRACTIONS COURANTES;Vol au préjudice de l’employeur;vol au prejudice de l’employeur;11;0;2;0;11;2;0;0;0;25;8;0;1;5;
2024;III. INFRACTIONS COURANTES;Vol à la tire;vol a la tire;160;22;0;0;74;21;0;0;0;26;92;160;22;0;07 H MD, 02H LP
2024;III. INFRACTIONS COURANTES;Vol de bovidé;vol de bovide;1;0;0;0;1;0;0;0;0;0;0;0;0;1;
2024;III. INFRACTIONS COURANTES;VBG;vbg;0;0;1;0;0;1;0;0;0;0;1;0;0;0;
2024;III. INFRACTIONS COURANTES;Vol à l’esbroufe;vol a l’esbroufe;11;2;0;0;0;0;0;0;0;5;6;11;2;0;
2024;III. INFRACTIONS COURANTES;VAE;vae;259;0;0;56;136;24;3;0;0;117;85;12;23;13;
2024;III. INFRACTIONS COURANTES;VVF;vvf;16;0;12;9;8;0;0;0;0;1;2;3;4;11;
2024;III. INFRACTIONS COURANTES;VPE;vpe;11;0;0;0;4;1;0;0;0;1;0;5;0;2;
2024;III. INFRACTIONS COURANTES;CBV;cbv;306;0;28;57;208;46;0;0;0;69;89;58;51;54;
2024;III. INFRACTIONS COURANTES;Menace;menace;10;0;0;0;6;0;0;0;0;0;0;4;0;1;
2024;III. INFRACTIONS COURANTES;Outrages;outrages;1;0;0;1;0;0;0;0;0;6;2;0;0;2;
2024;III. INFRACTIONS COURANTES;Escroquerie;escroquerie;1282;3;159;7;531;381;0;0;0;908;632;132;59;182;04 H MD, 02 H LP, 03 F MD, 01 F LP
2024;III. INFRACTIONS COURANTES;ECSP;ecsp;7;0;67;0;65;13;0;0;0;147;0;0;67;1;
2024;III. INFRACTIONS COURANTES;Faux et usage de faux;faux et usage de faux;3;0;17;0;15;9;0;0;0;60;11;0;2;9;
2024;III. INFRACTIONS COURANTES;Acte de concurrence déloyale;acte de concurrence deloyale;1;0;0;0;1;0;0;0;0;0;0;0;0;1;
2024;III. INFRACTIONS COURANTES;Corruption et abus de fonction;corruption et abus de fonction;0;0;1;0;1;0;0;0;0;0;1;0;0;0;
2024;III. INFRACTIONS COURANTES;Abus de confiance;abus de confiance;1357;5;411;10;735;404;0;0;0;542;621;20;112;375;01 H MD, 03 H LP, 02 F LP
2024;III. INFRACTIONS COURANTES;Destructions de biens d’autrui;destructions de biens d’autrui;143;0;22;4;78;39;0;0;0;43;49;0;21;37;01 H MD
