Annee;Categorie;Libelle;Saisine_Plaintes_directes;Saisine_FD;Saisine_ST;Saisine_Autres;Victimes_H;Victimes_F;Victimes_G;Victimes_F_fille;MiseEnCause_Neutralises;MiseEnCause_Interpelles;Resultats_En_cours;Resultats_Retraits;Resultats_DAT;Resultats_DEF;Observations_Objets_saisis
2024;I. C/ ÉTAT;S/ TOTAL;37;0;0;0;21;13;0;0;0;0;27;0;0;1;-
2024;II. CRIMINALITÉ ET ACTES DE BANDITISME;S/ TOTAL;151;0;7;2;74;9;2;0;23;76;72;0;0;37;03H MD
2024;III. INFRACTIONS COURANTES;S/ TOTAL;8277;112;312;483;3358;1639;104;78;0;1856;3485;5935;390;492;23 H MD. 12 H LP 06 F MD. 03F LP
2024;III. INFRACTIONS COURANTES;S/ TOTAL;2804;8;690;23;1444;850;0;0;0;1708;1319;152;262;617;06 H MD.05 H LP 03F MD 03F LP
2024;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;S/TOTAL;79;131;0;42;20;0;0;0;2;243;3;0;6;148;02H MD
2024;VI. ACCIDENTS DE LA CIRCULATION;S/ TOTAL;411;340;48;3;500;104;69;19;82;144;335;126;93;146;
2025;I. C/ ÉTAT;S/ TOTAL;0;0;0;2;0;0;0;0;0;2;0;0;0;2;
2025;II. CRIMINALITÉ ET ACTES DE BANDITISME;S/ TOTAL;186;107;28;2;170;127;11;29;35;893;12;77;306;551;
2025;III. INFRACTIONS COURANTES;S/ TOTAL;9995;831;389;109;3719;4289;329;330;2;3733;865;629;1061;1882;
2025;IV. INFRACTIONS ÉCONOMIQUES;S/ TOTAL;2247;73;437;102;1340;1052;61;80;0;1007;320;130;459;651;
2025;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;S/TOTAL;3;94;0;50;5;0;1;0;0;262;0;33;48;84;
2025;VI. ACCIDENTS DE LA CIRCULATION;S/ TOTAL;643;216;61;0;504;252;81;53;0;534;10;0;243;284;
2025;VII. AUTRES;S/ TOTAL;501;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;I. C/ ÉTAT;S/ TOTAL;4;2;0;2;7;0;0;0;0;5;0;1;0;6;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;S/ TOTAL;236;108;9;8;200;105;0;1;18;1321;13;273;769;348;
2026-S1;III. INFRACTIONS COURANTES;S/ TOTAL;4841;1077;293;171;3339;2742;200;193;3;2461;524;760;699;968;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;S/ TOTAL;729;95;76;15;446;477;0;2;0;518;190;126;131;233;
2026-S1;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;S/ TOTAL;12;96;0;0;9;1;0;0;0;192;2;92;46;49;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;S/ TOTAL;636;440;0;6;400;136;68;33;0;251;68;35;112;178;
2026-S1;VII. AUTRES;S/ TOTAL;247;0;0;0;0;1;0;1;0;0;1;0;0;0;
